"Common name","Scientific name","Order","Family","Resident status"
"Thick-billed Murre","Uria lomvia","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Non-resident"
"Townsend's Solitaire","Myadestes townsendi","Passeriformes","Turdidae (Thrushes and Allies)","Non-resident"
"Tufted Titmouse","Baeolophus bicolor","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Resident"
"Varied Thrush","Ixoreus naevius","Passeriformes","Turdidae (Thrushes and Allies)","Non-resident"
"Vesper Sparrow","Pooecetes gramineus","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"White-breasted Nuthatch","Sitta carolinensis","Passeriformes","Sittidae (Nuthatches)","Resident"
"White-crowned Sparrow","Zonotrichia leucophrys","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"White-throated Sparrow","Zonotrichia albicollis","Passeriformes","Passerellidae (New World Sparrows)","Resident"
"White-winged Crossbill","Loxia leucoptera","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"White-winged Scoter","Melanitta deglandi","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Wild Turkey","Meleagris gallopavo","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Resident"
"Wilson's Snipe","Gallinago delicata","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Non-resident"
"Winter Wren","Troglodytes hiemalis","Passeriformes","Troglodytidae (Wrens)","Non-resident"
"Yellow-bellied Sapsucker","Sphyrapicus varius","Piciformes","Picidae (Woodpeckers)","Non-resident"
"Yellow-breasted Chat","Icteria virens","Passeriformes","Icteriidae (Yellow-breasted Chat)","Non-resident"
"Yellow-rumped Warbler","Setophaga coronata","Passeriformes","Parulidae (New World Warblers)","Resident"
